Hashsize	Subject	Cross Validation Fold	Model	Training Accuracy	Training F-Score	Test Accuracy	Test F-Score	Time to Evaluate Model
1000	8	8	1	99.6153846154	0.9166666667	99.6153846154	0.9166666667	17.7530019283
1000	8	8	2	97.6923076923	-1	97.6923076923	-1	39.3053131104
1000	8	8	3	97.6923076923	-1	97.6923076923	-1	22.0615620613
1000	8	9	1	99.4230769231	0.8965517241	99.4230769231	0.8965517241	19.4756610394
1000	8	9	2	97.3076923077	-1	97.3076923077	-1	39.790448904
1000	8	9	3	97.3076923077	-1	97.3076923077	-1	22.4062860012
1000	8	10	1	99.6153846154	0.9166666667	99.6153846154	0.9166666667	16.7121119499
1000	8	10	2	98.0769230769	0.375	98.0769230769	0.375	38.331040144
1000	8	10	3	97.6923076923	-1	97.6923076923	-1	23.2411029339
1000	9	1	1	99.4230769231	0.8965517241	99.4230769231	0.8965517241	17.4404690266
1000	9	1	2	97.3076923077	-1	97.3076923077	-1	38.869852066
1000	9	1	3	97.3076923077	-1	97.3076923077	-1	22.3369059563
1000	9	2	1	99.2307692308	0.8461538462	99.2307692308	0.8461538462	17.2987139225
1000	9	2	2	97.3076923077	-1	97.3076923077	-1	39.6589100361
1000	9	2	3	97.3076923077	-1	97.3076923077	-1	22.1036009789
1000	9	3	1	98.6538461538	0.7878787879	98.6538461538	0.7878787879	17.4338490963
1000	9	3	2	96.9230769231	-1	96.9230769231	-1	39.3219401836
1000	9	3	3	96.9230769231	-1	96.9230769231	-1	22.6042878628
1000	9	4	1	98.8461538462	0.8125	98.8461538462	0.8125	17.4129769802
1000	9	4	2	97.1153846154	-1	97.1153846154	-1	38.6942310333
1000	9	4	3	97.1153846154	-1	97.1153846154	-1	22.619697094
1000	9	5	1	99.4230769231	0.88	99.4230769231	0.88	18.0011909008
1000	9	5	2	97.6923076923	-1	97.6923076923	-1	38.8306429386
1000	9	5	3	97.6923076923	-1	97.6923076923	-1	22.2718238831
1000	9	6	1	99.6153846154	0.9230769231	99.6153846154	0.9230769231	17.5066010952
1000	9	6	2	97.5	-1	97.5	-1	39.6363739967
1000	9	6	3	97.5	-1	97.5	-1	21.7426199913
