Avg Accuracy,Avg F1 Score,Avg Log Loss,No. Neurons,Learning Rate,No. Epochs
0.9098491609,0.7389575623,3.1137124125,70,0.06,60000
0.909825083,0.7430084418,3.1145469595,80,0.07,110000
0.9098250419,0.741689216,3.1145471004,65,0.09,90000
0.9098250066,0.7458913267,3.1145503549,100,0.06,100000
0.9098008171,0.7415763166,3.1153836982,85,0.11,60000
0.909776657,0.7348395196,3.1162157558,105,0.06,90000
0.9097524439,0.7498701133,3.1170590426,80,0.11,100000
0.9097281192,0.7310217043,3.1178891267,100,0.05,110000
0.9097039415,0.7410659493,3.1187298781,65,0.08,60000
0.909703818,0.7270424404,3.118726619,85,0.07,80000
0.9096795638,0.7306082831,3.1195663062,65,0.05,110000
0.9096794639,0.74752426,3.1195783469,95,0.1,60000
0.9096794169,0.7557228333,3.1195849153,110,0.07,100000
0.9096553567,0.736569655,3.1204057073,70,0.09,70000
0.9096066837,0.7274605582,3.1220824103,60,0.09,60000
0.9096066367,0.7625952295,3.1212585294,95,0.09,110000
0.9095827235,0.7392010908,3.1229161341,70,0.05,110000
0.9095824178,0.7400702086,3.1229264979,70,0.07,70000
0.9095585516,0.7490854134,3.1229112264,90,0.1,60000
0.9095585339,0.732597282,3.1237480624,85,0.09,60000
0.9095582753,0.7412448424,3.1237615129,70,0.08,70000
0.9095338271,0.7564031266,3.1237694138,115,0.1,110000
0.9095096905,0.7486309094,3.1254433528,70,0.09,100000
0.9094857655,0.736781686,3.1262631589,105,0.05,70000
0.9094855186,0.7437194025,3.1262756605,90,0.06,80000
0.9094614937,0.7285642282,3.1270981817,90,0.1,100000
0.9094613938,0.7431069982,3.1271080312,105,0.05,90000
0.909437022,0.7387214319,3.1279474752,105,0.07,70000
0.9094369574,0.7354254056,3.1279483123,90,0.08,70000
0.9094128384,0.7267096747,3.1287771453,95,0.06,60000
0.9093888076,0.7429916773,3.1296155932,80,0.05,90000
0.9093885959,0.7385840358,3.1296202845,80,0.05,80000
0.9093885724,0.7272460926,3.1296154162,100,0.05,60000
